"","pap_research","pub_research","effect_rate","share","use_opp","benefits","reusecost","cost","time","Publ","impact"
"6342",0.320826924812635,3.11694537665131,0.294574653241629,0,0,0,0,0,3.117,0.321,0.321
"6343",4.11604882081759,0.242951442884335,4.23090887112506,0,0,0,0,0,0.243,4.115,4.115
"6344",1.12140359400806,0.891739606813505,1.12081648982166,1,1,0.186,0.002,0.041,0.494,2.024,2.024
"6345",1.54543668871207,0.647066299968184,1.62165749636055,1,0,0,0,0.041,0.734,1.362,1.362
"6346",0.428516895872877,2.33363027136428,0.442145509179366,0,0,0,0,0,2.334,0.428,0.428
"6347",0.438859821056584,2.27863192759919,0.46448868850659,0,0,0,0,0,2.279,0.439,0.439
"6348",0.342892888259389,2.91636261421534,0.362154534500389,0,0,0,0,0,2.916,0.343,0.343
"6349",0.0728629714316647,13.7243922441162,0.0761648926521403,1,0,0,0,0.041,15.304,0.065,0.065
"6350",3.48872309441716,0.286637825054173,3.51350959990649,0,1,0.059,0.001,0,0.236,4.237,4.237
"6351",0.377729020805182,2.64740050385422,0.386790136748664,1,0,0,0,0.041,2.995,0.334,0.334
"6352",0.0458273484957264,21.8210311707921,0.0442681544142507,1,0,0,0,0.041,24.661,0.041,0.041
"6353",0.452381476706808,2.21052375371264,0.490146887907138,0,0,0,0,0,2.211,0.452,0.452
"6354",1.80680280831597,0.553463828701956,1.93237931949005,0,0,0,0,0,0.553,1.808,1.808
"6355",3.30053478176301,0.302981203387241,3.35370192697981,0,2,0.11,0.002,0,0.194,5.155,5.155
"6356",2.42653411067374,0.412110423505378,2.3575618868192,0,1,0.088,0.001,0,0.306,3.268,3.268
"6357",0.642538245585742,1.55632759119015,0.603187612224022,0,0,0,0,0,1.556,0.643,0.643
"6358",2.75192565984827,0.363381909108379,2.8117066456902,0,0,0,0,0,0.363,2.755,2.755
"6359",5.97923989683402,0.167245338413248,6.19900915828857,1,0,0,0,0.041,0.189,5.291,5.291
"6360",0.393956790635373,2.53834944280869,0.427857088846244,1,0,0,0,0.041,2.852,0.351,0.351
"6361",4.41696367631406,0.226399869521792,4.38577593520925,1,0,0,0,0.041,0.258,3.876,3.876
"6362",9.12332172489467,0.109609200481368,8.39690999379591,0,1,0.021,0,0,0.102,9.804,9.804
"6363",9.66681479962111,0.103446690634768,10.5819632539082,0,2,0.041,0.001,0,0.091,10.989,10.989
"6364",0.136915248296804,7.30378838325011,0.148773826821941,1,0,0,0,0.041,8.271,0.121,0.121
